property_name,society,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
2 BHK Flat in Ballygunge,annapurna apartment,0.45,5696.0,Built Up area: 790 (73.39 sq.m.)Carpet area: 672 sq.ft. (62.43 sq.m.),2.0,1,0,not available,"Ballygunge, Ballygunge, Kolkata South, Kolkata",2,North-East,undefined,"['Ice Skating Rink', 'Assembly of Gods Church', 'Arathdar Masjid', 'Allahabad bank ATM', 'Sbi ATM', 'Sana Nursing Home', 'East End Nursing Home', 'Farsight Eye Research Centre', 'Lions Club Of Calcutta', 'Implant House Laser and Diagnostic Centre', 'Miot Hospitals', 'MP Birla Eye Clinic', 'Harvard Medicare And Research Institute P Ltd.', 'Priyamvada Birla Aravind Eye Hospital', 'The Orthopaedic And Fracture Clinic', ""Implant's Better Sight Centre Pvt Ltd"", 'Islamia Medical Institute', 'Stallard Eye Clinic', 'Gamma Centauri Health Care P Ltd.', 'Institute of Neuroscience Kolkata', 'Park Clinic Kolkata', 'Mission Of Mercy Hospital And Research Centre', 'Duncan Gleneagles Hospitals', 'Frank Ross Pharmacy', 'Aastha', 'Ballygunge Drugs Centre', 'Inox quest cinema', 'Hdfc bank', 'Cafe Coffee Day', 'The Chocolate Room', 'Krazy Kebab', 'The South Indian', 'Dominos', 'Zeeshan', 'Nafeel', 'Pizza Hut', 'KFC', 'The Irish House', 'Arsalan', 'Cafe Coffee Day', 'Artsy Coffee & Culture', 'Piccadilly Square', 'Veg restaurant', 'Automobile association of eastern India', ""Govinda's"", 'Street food stalls', 'Monkey Bar', 'Dawat', 'Coffee Day', 'My Big Fat Belly']",Looking for a spacious and modern 2 bhk flat in the heart of kolkata look no further than this stunning property in ballygunge with its prime location annapurna apartment ballygunge,,,"['Lifestyle4.3 out of 5', 'Safety4.3 out of 5', 'Connectivity4.4 out of 5', 'Environment4 out of 5']"
2 BHK Flat in New Town,shapoorji paloonji sukhobristi,0.45,6429.0,Built Up area: 700 (65.03 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2.0,2,1,not available,"New Town, New Town, Kolkata East, Kolkata",12,South-East,undefined,"['Rabindra Tirtha Metro Station', 'mandir', 'Axis bank ATM', 'Hdfc bank ATM', 'Global Healthcare System', 'Belle Vue Hospital', 'Bhagirathi Neotia Woman And Child Care Centre', 'Tata Cancer Hospital', 'Apollo Dental Clinic', 'Sanjeevani Health and Lifestyle Pvt Ltd', 'Geetanjali IT Park', 'DLF IT Park', 'DLF Tower', 'Mani Casadona Parking Lot', 'Eco Park Gate 1 Parking Lot', 'New Town Bus Depot', 'Balaka Bus Terminus', 'Indian Oil Petrol Pump', 'Bioscope', 'Hangout', 'Eco Hub', 'IRCTC Cafe', 'Biswa Bangla Gate', 'Aaheli', ""St. Xavier's University"", 'Aliah University', 'Amity University', 'Acharya Tulsi Academy Orchids The International School Newtown']",Best in class property available at new town location in kolkata,,,"['Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.3 out of 5', 'Environment4.2 out of 5']"
1 BHK Flat in Barasat,magnolia nakshatra,0.15,2941.0,Built Up area: 510 (47.38 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),1.0,1,1,not available,"Barasat, Barasat, Kolkata North, Kolkata",0,South,undefined,"['Star Mall', 'Colony More, Barasat', 'SH 2, Barasat', 'West Bengal State University', ""Nabapally Boys' High School"", 'Barasat College', 'Adamas University', 'Mount Litera Zee School North Kolkata', 'Kalyani Public School', 'Brainware University, Kolkata', 'Acharya Prafulla Chandra College', 'Medilife, Sadarpur', 'Barasat Station', 'Lali Cinema Hall, NH12', 'Jaya Cinemas - City Mall Barasat']",Best in class property available at barasat location in kolkata,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle4.2 out of 5', 'Safety4.2 out of 5', 'Connectivity4.4 out of 5', 'Environment3.9 out of 5']"
1 BHK Flat in Sonarpur,bga amrita abashan 1,0.14,2177.0,Carpet area: 620 (57.6 sq.m.),1.0,1,1,not available,"Sonarpur, Sonarpur, Kolkata South, Kolkata",2,North-East,undefined,,Best in class property available at sonarpur location in kolkata,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle3.8 out of 5', 'Safety3.9 out of 5', 'Connectivity4.1 out of 5', 'Environment4 out of 5']"
2 BHK Flat in Majarhati,basu dream sunrise,0.2,3636.0,Built Up area: 550 (51.1 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),2.0,1,1,not available,"Rajarhat, Majarhati, Kolkata East, Kolkata",0,West,undefined,"['Shitala Mandir', 'State bank of india ATM', 'Union bank of india ATM', 'Axis bank ATM', 'Bank of baroda ATM', 'Hdfc bank ATM', 'Icici bank ATM', 'Allahabad bank ATM', 'Kolkata Nursing Home', 'Charnock Hospital Pvt Ltd', 'Renaissance Hospital', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'New Life Nursing Home Kolkata', 'Avenue Nursing Home', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Maa Sarada Nursing Home', 'Little Hut Nirikshan Kendra', 'Revive Nursing Home', 'CGHS Dispensary', 'ILS Hospitals - Dumdum', 'Tulip Nursing Home', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'North Point Nursing Home Pvt. Ltd', 'Aparna Nursing Home', 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Airport Bus Stand lines VS1', 'Nagerbazar nursery', 'Hdfc bank', 'PVR', 'KFC', ""McDonald's"", 'KFC', 'O-Zone Restaurant cum Bar', 'New Rajkumar Sweets', 'Stash Cafe', 'KFC', 'Little Friends school', 'Calcutta Public School']",Best in class property available at rajarhat location in kolkata,,,
3 BHK Flat in Swiss Park,merlin manor,1.6,10000.0,Built Up area: 1600 (148.64 sq.m.)Carpet area: 1120 sq.ft. (104.05 sq.m.),3.0,3,1,not available,"Swiss Park, Swiss Park, Kolkata South, Kolkata",7,North,undefined,"['Rabindra sarobar metro station', 'Mahanayak uttam kumar metro station', 'Kalighat metro station', 'Shibaloy', 'Lake Kalibari', 'Union bank of india ATM', 'Axis bank ATM', 'State bank of india ATM', 'Dhanalakshimi bank ATM', 'RSV Hospital', 'Siddhi Multi Speciality Ayurveda Hospital and Research Institute', 'Swiss Park Nursing Home', 'Medline Nursing Home', 'Shankarnath Dialysis Centre and Nursing Home', 'Santosh Clinic', 'Arogya Maternity and Nursing Home', 'Mohan Clinic', 'Shradha Health Care Pvt. Ltd', 'Orchid Skin Clinic', 'Ramakrishma Sarada Mission Matri Bhavan Hospital', 'Infirmary Orthopaedic Centre and Nursing Home', 'N.G. Nursing Home', 'Amri Medical Centre', 'Dental Hospital', 'Kottakkal Ayurvedic Hospital and Research Centre', 'Smile And Profile Dental Treatment Centre Pvt Ltd', 'B.P. Poddar Hospital', 'Get Well', 'Cinepolis', 'Axis bank', 'Indian bank', 'Cafe HQ', 'Crossroad Cafe', 'Steak Factory', 'Cafe Kathmandu', 'Burgers', 'Cakes', 'North & South', 'Bombay Kulfi', 'Bru Mugs', 'FORKSTRUCK', ""Radu Babu's"", 'Cafe Coffee Day', 'Barbeque Nation', 'The Lighthouse Cafe', 'Banana Leaf', 'Birla Academy of Fine Arts', 'Tollygunge railway station', 'Lake gardens railway station', 'New alipore railway station']",Best in class property available at swiss park location in kolkata,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,
3 BHK Flat in EM Bypass,active acres,1.2,6723.0,Built Up area: 1785 (165.83 sq.m.)Carpet area: 1276 sq.ft. (118.54 sq.m.),3.0,2,1,not available,"Eastern Metropolitan Bypass, EM Bypass, Kolkata South, Kolkata",3,North-East,undefined,"['Maa Kali mandir', 'Maa kali temple', 'Shoni thakur mandir', 'Old Radha Krishna Temple', 'Hari Sava.Lord Krishna Temple', 'Hindu Temple', 'Lord Shiva Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Shani Temple', 'Radha Krishna Temple', 'Battala Sitala Mandir', 'Sitala Mandir-Bondel Road', 'State bank of india ATM', 'Axis bank ATM', 'Pnb ATM', 'Dr. Agarwals Eye Hospital', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Cancer Hospital', 'A.H.IVF and Infertility Research Centre Ltd', 'Revival Nursing Home', 'Dolphin Nursing Home', 'Dr. Alis Multispeciality Clinic', 'R-Fleming Hospital Zodiac Medicare and Hospital Pvt.Ltd.', 'Dhakuria Sree Ramkrishna Sebasram', 'B.K.Dutt Memorial Medical Centre', 'Aditya Birla Sankara Nethralaya', 'Frank Ross Pharmacy', 'Lokenath Medical Shop', 'Cinepolis', 'Hdfc bank', 'Icici bank', 'Bandhan bank', 'State bank of india jadavpur stadium branch', 'Ozora', ""Chili's"", 'Red chilli', 'Boudir Hotel', ""Harvey's"", 'Naushijaan', 'Thali', 'Food Court', 'Heritage Institute of Technology', 'RD Memorial School', 'Ballygunge junction railway station', 'Ballygunge railway station', 'Dhakuria public library']",Cross ventilation active acres eastern metropolitan bypass,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Connectivity4.2 out of 5', 'Environment3.8 out of 5']"
2 BHK Flat in Garia,devradha,0.38,4606.0,Built Up area: 825 (76.65 sq.m.)Carpet area: 618 sq.ft. (57.41 sq.m.),2.0,2,1,not available,"Garia, Garia, Kolkata South, Kolkata",1,North-West,undefined,,Price including 100 sq ft car space just beneath the flat devradha garia,,,"['Lifestyle4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Environment3.8 out of 5']"
2 BHK Flat in Birati,elements birati,0.28,3609.0,Built Up area: 787 (73.11 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2.0,2,1,not available,"Birati, Birati, Kolkata North, Kolkata",4,South-West,undefined,"['Shitala Mandir', 'Mother Teresa Church', 'Bindubasini Nursing Home', 'Birati Nursing Home Pvt. Ltd.', 'North Dum Dum Municipality Hospital', 'Manorama Nursing Home', 'Asmii Eye Foundation', 'Dr. Rathikul Hasan', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Bengal Neuro Institute Hospital', 'Aparna Nursing Home', 'Mother Nursing Home', 'Matri Sadan-O-Swasthya Kendra And General Hospital', 'New Barrackpur Nursing Home Nursing home', 'CGHS Dispensary', 'Subham anusthan griha', 'Birati Minibus', 'Airport Bus Stand lines VS1', 'Sher-e-Punjab', 'Birati railway station', 'Bisharpara kodalia railway station', 'Durganagar railway station']",Multistorey apartment is available for sale. It is a good location property. Please contact for more details. Elements birati birati,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle4.1 out of 5', 'Safety4.2 out of 5', 'Connectivity4.3 out of 5', 'Environment4.1 out of 5']"
3 BHK Flat in Majarhati,vedic smart homes,0.6,4615.0,Built Up area: 1300 (120.77 sq.m.),3.0,2,3,not available,"Rajarhat, Majarhati, Kolkata East, Kolkata",2,East,undefined,"['Kali mandir', 'Kali Temple', 'Manasha Mandir', 'Kali Mandir', 'Dharmaraj Temple', 'Mukherjee Barir Durgadalan', 'Rekjoani Shitala Mandir', 'Shitala Mandir', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM', 'Kolkata Nursing Home', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Maa Sarada Nursing Home', 'Netram Eye Hospital', 'Little Hut Nirikshan Kendra', 'Charnock Hospital Pvt Ltd', 'Renaissance Hospital', 'CGHS Dispensary', 'Spandan Hospital', 'B B Eye Foundation VIP ROAD', 'New Life Nursing Home Kolkata', 'Phoenix Hospital And Diagnostic Centre Pvt Ltd', 'Avenue Nursing Home', 'Dr. Rathikul Hasan', 'Swasti Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Geetanjali IT Park', 'Airport Bus Stand lines VS1', 'Indian Oil', 'Hdfc bank', 'KFC', ""McDonald's"", 'KATHI JUNCTION', 'Stash Cafe', 'KFC', 'O-Zone Restaurant cum Bar', 'Little Friends school']",Property details bhk 3 bhk area super built up 1300 square feetfloor 2nd floorparking 1 covered 4 wheeler stilt parkingfacing east and gardenpool vedic smart homes rajarhat,,,
2 BHK Flat in Kestopur,niyati apartment,0.26,3471.0,Built Up area: 749 (69.58 sq.m.)Carpet area: 699 sq.ft. (64.94 sq.m.),2.0,2,1,not available,"Kestopur, Kestopur, Kolkata North, Kolkata",3,South-East,undefined,"['Karunamoyee metro station', 'Central park metro station', 'Salt lake sector v metro station', 'The Church of Jesus Christ of Latter-day Saints', 'Hdfc ATM', 'Icici bank ATM', 'Sbi ATM', 'Allahabad bank ATM', 'Hdfc bank ATM', 'Bank of baroda ATM', 'State bank of india ATM', 'CGHS Dispensary Salt-Lake AF', 'Anandalok Polyclinic', 'Revive Nursing Home', 'Anandalok', 'Anandalok Hospital Salt Lake City', 'Tarulia Upashasthya Kendra', 'Suraksha Diagnostic', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Salt Lake City Medical Centre', 'Composite Hospital', 'Doctor', 'Swasti Nursing Home', 'Bidhannagar State General Hospital', 'Seba Hospital', 'Bidhannagar Sub-Divisional Hospital', 'Seba', 'Salt Lake Sub-divisional Hospital', 'New Life Nursing Home Kolkata', ""BF block Residents' Association"", 'P.S. Srijan Techpark', 'Imagine Tech Park', 'Saltee Techpark', 'CSTC Bus Depot', 'Daga Service Station', ""Santa's Fantasea"", ""Mishra's"", 'Oudh 1590', 'O-Zone Restaurant cum Bar', 'Azad Hind Dhaba', 'KFC', '6 Ballygunge Place', 'West Bengal University of Technology', 'Maulana Abul Kalam Azad University of Technology', 'Calcutta Public School', 'Aliah University', 'Burdwan University - Kolkata Office', 'North Bengal University', 'Rabindra Bharati University', 'Salt Lake Collegiate School']","Close proximity to airport, newtown, saltlake, and sealdah railway stations. Excellent connectivity to all parts of the city and suburbs through publ niyati apartment kestopur",,,"['Lifestyle4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Environment3.8 out of 5']"
2 BHK Flat in Mankundu,radha apartment,0.24,2902.0,Super Built up area 826.8(76.81 sq.m.),2.0,2,1,not available,"Mankundu, Kolkata West, Kolkata",4,East,5 to 10 Year Old,"['Bhadreswar Municipal Hospital', 'Pandey Sebayan Nursing Home', 'Mankundu railway station']","Apartment is well maintained by tight security with a very minimal maintenance fee, market, medical shops, shopping mall , service centers, hospitals, nursing homes, religious places are nearby , chandannagar strand ghat is also situated within 2km from apartment..","['2 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Shopping Centre']","['Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Connectivity3.7 out of 5', 'Environment3.7 out of 5']"
2 BHK Flat in Joka,the 102,0.55,6849.0,Super Built up area 803(74.6 sq.m.)Built Up area: 602 sq.ft. (55.93 sq.m.)Carpet area: 562 sq.ft. (52.21 sq.m.),2.0,2,1,study room,"P S Group, Joka, Kolkata South, Kolkata",2,North-East,1 to 5 Year Old,"['Joka Metro Station', 'Reliance Trends', 'More Super Market', 'NH12', 'IIM Calcutta', 'Vivekanand Mission School', 'Kasturi Medical Centre', 'Bharat Sevashram Sangha Hospital', 'Airport, Dum Dum']","Experience kolkatas first residential complex with 102 amenities & facilities at joka.
Ps 102 designed by srss, one of the finest architects from singapore, with construction technology from south korea and landscaping by tectonix thailand, the 102 offers unparalleled plethora of recreational facilities at an unbelievable price.All your needs taken care of. Sports and health privileges, state of the art recreation and lifestyle amenities, unlimited fun for kids, landscaped gardens, natural pond, senior citizen friendly, advanced security.
 Additional details :The apartment has borings water supply.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Lifestyle3.8 out of 5', 'Safety3.6 out of 5', 'Connectivity3.7 out of 5', 'Environment3.6 out of 5']"
2 BHK Flat in Dum Dum Metro,dumdum metro,0.27,3292.0,Super Built up area 820(76.18 sq.m.),2.0,1,1,not available,"Dum Dum Metro, Kolkata North, Kolkata",3,South-East,5 to 10 Year Old,"['Dum dum metro station', 'Belgachia metro station', 'Hanuman Mandir', 'Lichubagan Radha Krishna Temple', 'Sbi ATM', 'EVES Clinic Nursing Home', 'Dr. Syamal Kumar Pandey', 'Des Nursing Home', 'Narayana Hrudayalaya Eye Clinic', 'Dum Dum Eye Microsurgery Centre', 'Binayak Imaging And Diagnostic Pvt Ltd', 'CGHS Dispensary Lake-Town', 'Nayan Jyoti Eye Care Centre', 'The May Fair Hospital', 'New Saraju Nursing Home', 'Astha Medical Services Pvt Ltd', 'Saraju Nursing Home', 'Critical and Trauma Care Hospital', 'bangur medical center', 'Alokon Eye Care Pvt. Ltd.', 'Aditya Hospital', 'Health Cure Nursing Home', 'Baranagar State General Hospital', 'ILS Hospitals - Dumdum', 'Dafodil Hospitals', 'Udichi ENT and Head Neck Center', 'North Point Nursing Home Pvt. Ltd', 'Tulip Nursing Home', 'L.B.Nursing Home', 'Nirman Community Center', 'Paikpara', '4B Bus Stand', 'Nagerbazar nursery', 'PVR', 'Cafe Cofee Day', 'Momozing', 'My Little Kitchen', 'Domino Pizza', 'KFC', 'New Rajkumar Sweets', 'Aqua Java Air', 'Prachya Bani Mondir for Boys', 'Sarada Vidyapith', 'Dum dum junction railway station', 'Patipukur railway station', 'Tala railway station', 'Kolkata chitpur railway station', 'Dum dum cantonment railway station']","Near dumdum metro station 2bhk flat for sale immediately. South east open very airy flat at mondal para. Dumdum junction rail station, metro station, 30a bus stand, auto stand, market, bank, school, hospital, atm very near. No lift. 24 hours water available.",[],['Water Storage'],"['Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Connectivity4.3 out of 5', 'Environment3.5 out of 5']"
2 BHK Flat in Central Balia,4sight olivia,0.57,5000.0,Super Built up area 1046(97.18 sq.m.),2.0,2,1,not available,"Model Town Road, Central Balia, Kolkata South, Kolkata",1,North-East,1 to 5 Year Old,"['Shahid khudiram metro station', 'Kavi subhash metro station', 'Kavi nazrul metro station', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Bikram mess kali mandir', 'Sitala mandir', 'Durga mandir', 'Gosto Mandir', 'Kali temple', 'Sbi ATM', 'Icici bank ATM', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Namita Biswas Memorial Eye Hospital', 'Hindustan Health Point Pvt Ltd', 'Garia Eye Clinic and Micro Surgery Centre', 'Peerless Hospital and B.K.Roy Research Center', 'BRWS Hospital', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Sevangan Medical Complex', 'Apex Institute Of Medical Sciences', 'Red Plus Society Nursing Home', 'Sunetra Eye and Family Care Centre', 'IRIS HOSPITAL', 'Dakshinee Eye Foundation', 'Yubatirtha club', 'Red Cross Society Medical Strore', 'Petrol pump', 'Axis bank', 'Axis bank', 'Hdfc bank brahmapur branch', 'Machhranga Airconditioned Multi Cuisine', 'Cafe Coffee Day', 'Neils Kitchen', 'Sandwiches', 'Biswabani School', 'Sammilani Mahavidyalaya', 'Garia railway station', 'New garia railway station', 'Bagha jatin railway station', 'Narendrapur railway station']","Project by ganguly group. Community hall, lift, power backup, water treatment plant, 24/7 security, roof top- (Garden, playground, drying area). Very close to baliya market cum bus stand and garia railway station. Walking distance from khudiram metro station (Dhalai bridge).","['4 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",
1 BHK Flat in Hanapara,narayan abasan charaktala,0.15,3009.0,Carpet area: 505 (46.92 sq.m.),1.0,1,1,not available,"Jagatpur, Hanapara, Kolkata North, Kolkata",1,East,1 to 5 Year Old,"['Karunamoyee metro station', 'Salt lake sector v metro station', 'Central park metro station', 'The Church of Jesus Christ of Latter-day Saints', 'Hdfc ATM', 'Sbi ATM', 'Icici bank ATM', 'Hdfc bank ATM', 'Allahabad bank ATM', 'Bank of baroda ATM', 'Anandalok', 'Anandalok Polyclinic', 'CGHS Dispensary Salt-Lake AF', 'Tarulia Upashasthya Kendra', 'Anandalok Hospital Salt Lake City', 'Composite Hospital', 'Revive Nursing Home', 'Doctor', 'Salt Lake City Medical Centre', 'Suraksha Diagnostic', 'Rotary Narayana Nethralaya', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Bidhannagar State General Hospital', 'Seba Hospital', 'Swasti Nursing Home', 'Bidhannagar Sub-Divisional Hospital', ""BF block Residents' Association"", 'P.S. Srijan Techpark', 'Imagine Tech Park', 'Saltee Techpark', 'Millennium City IT Park', 'CSTC Bus Depot', 'Daga Service Station', 'HP Petrol Pump', ""Santa's Fantasea"", ""Mishra's"", 'Azad Hind Dhaba', 'Oudh 1590', ""Domino's"", ""BB's"", 'West Bengal University of Technology', 'Maulana Abul Kalam Azad University of Technology', 'Calcutta Public School', 'Burdwan University - Kolkata Office', 'North Bengal University', 'Rabindra Bharati University', 'Aliah University', 'NITTTR Residential Campus', 'Aliah University']","This 1 bhk flat is located in narayan abasan charaktala, which houses some of the most spacious flats in hanapara, kolkata north. This residential flat is east-Facing direction. The floor plan additionally contains 1 bedroom(s), 1 bathroom and 1 balcony. All in all, the flat is spread over a carpet area of 505 sq.Ft. This flat is situated on the 1st floor of this 6 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with ceramic flooring options. This flat is located near close to school, close to market and close to hospital. The flat will offer a modern lifestyle as it is presented with many of the amenities such as lift(s), park and visitor parking. This residential project ensures a 24*7 water supply for its residents.","['1 Water Purifier', '1 Fan', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Lift(s)', 'Park', 'Visitor Parking']",
2 BHK Flat in Action Area 3,dlf new town heights,0.85,6800.0,Carpet area: 1250 (116.13 sq.m.),2.0,2,2,not available,"Action Area 3, Kolkata East, Kolkata",1,East,1 to 5 Year Old,"['State bank of india ATM', 'Apollo Pharmacy', 'Shapoorji Bus Stand']","With club house, swimming pool, squash court, library, coffee room","['4 Fan', '1 Fridge', '1 Sofa', '1 Exhaust Fan', '2 Geyser', '1 Modular Kitchen', '1 TV', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Connectivity4 out of 5', 'Environment3.8 out of 5']"
3 BHK Flat in Garia,residential flat,0.52,5591.0,Carpet area: 930 (86.4 sq.m.),3.0,2,1,pooja room,"Garia, Kolkata South, Kolkata",3,North-East,0 to 1 Year Old,"['Kavi nazrul metro station', 'Shahid khudiram metro station', 'Kavi subhash metro station', 'Sitala mandir', 'Gosto Mandir', 'Sree Guru Sangha Main Gate', 'Sri Sri 108 Doyal Baba Asram', 'Sitala Temple', 'Brahmapur Badamtala Jame Masjid', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Bikram mess kali mandir', 'Durga mandir', 'Icici bank ATM', 'Sbi ATM', 'Axis bank ATM', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Garia Eye Clinic and Micro Surgery Centre', 'Hindustan Health Point Pvt Ltd', 'BRWS Hospital', 'Sevangan Medical Complex', 'IRIS HOSPITAL', 'Red Plus Society Nursing Home', 'Peerless Hospital and B.K.Roy Research Center', 'Dakshinee Eye Foundation', 'Namita Biswas Memorial Eye Hospital', 'Baghajatin State General Hospital', 'Apex Institute Of Medical Sciences', 'Kumar Surgical and Laparoscopic Clinic', 'Sunetra Eye and Family Care Centre', 'Udayan Nursing Home', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Yubatirtha club', 'Red Cross Society Medical Strore', 'Apollo Pharmacy', 'Petrol pump', 'Axis bank', 'Axis bank', 'Hdfc bank brahmapur branch', 'State bank of india brahmapur branch', 'Bank of baroda', 'State bank of india bansdroni', 'Machhranga Airconditioned Multi Cuisine', 'Cafe Coffee Day', 'Neils Kitchen', 'Sandwiches', 'Sammilani Mahavidyalaya', 'New garia railway station', 'Bagha jatin railway station', 'Garia railway station']","Brand new flat 3bhk with pooja room for sale, ready to move. Near khudiram metro...1. G+3 building
2.3rd floor 3bhk(1240sqft)
3. Price : 52lakh
4: Amenities are : Lift, power backup 24 hrs, water, community hall, security available, 3 bed room, 1 pooja room, 2 toylet, 1 belcony, 1 kitchen.
5: North east open..
7: Loan : Available
8: New construction
9: 0.8km walking distance from khudiram metro station and 0.3km from bypass..
All public transport are available around 0.8km..
10: No broker charge.All interested parson contact for more details.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Environment3.8 out of 5']"
