society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,Direction
on request,0.38,khardah,3199.0,Super Built up area 1176(109.25 sq.m.),3.0,2,2,others,3,South-East,0 to 1 Year Old,"['Jora Sib Mondir', 'Goodwill Welfare Association Seva Sadan', 'Punarjyoti Eye Care', 'Jibandeep Specialist Clinic and Day Care Centre', 'Dewan Medicare And Nursing Home', 'Sankara Jyoti Eye Institute', 'Sree Balaram Seva Mandir State General Hospital', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Eye Care', 'Vasan Eye Care Hospital Sodepur', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Ubi bank', 'Rathindra Cinema', 'Prabha Fastfood Center', ""Ideal Girl's High School"", 'Amarabati school', 'Khardaha railway station', 'Sodpur railway station', 'Titagarh railway station']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage']",North
on reuest,0.28,khardah,3200.0,Super Built up area 860(79.9 sq.m.),2.0,2,1,others,4,South-East,0 to 1 Year Old,"['Jora Sib Mondir', 'Goodwill Welfare Association Seva Sadan', 'Punarjyoti Eye Care', 'Jibandeep Specialist Clinic and Day Care Centre', 'Dewan Medicare And Nursing Home', 'Sankara Jyoti Eye Institute', 'Sree Balaram Seva Mandir State General Hospital', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Eye Care', 'Vasan Eye Care Hospital Sodepur', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Ubi bank', 'Rathindra Cinema', 'Prabha Fastfood Center', ""Ideal Girl's High School"", 'Amarabati school', 'Khardaha railway station', 'Titagarh railway station', 'Sodpur railway station']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage']",North
on request,0.38,khardah,3201.0,Super Built up area 1187(110.28 sq.m.),3.0,2,2,others,3,South-East,0 to 1 Year Old,"['Jora Sib Mondir', 'Goodwill Welfare Association Seva Sadan', 'Punarjyoti Eye Care', 'Jibandeep Specialist Clinic and Day Care Centre', 'Dewan Medicare And Nursing Home', 'Sankara Jyoti Eye Institute', 'Sree Balaram Seva Mandir State General Hospital', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Eye Care', 'Vasan Eye Care Hospital Sodepur', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Ubi bank', 'Rathindra Cinema', 'Prabha Fastfood Center', ""Ideal Girl's High School"", 'Amarabati school', 'Khardaha railway station', 'Titagarh railway station', 'Sodpur railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage']",North
nexus apartment,0.29,khardah,3199.0,Super Built up area 896(83.24 sq.m.),2.0,2,2,others,4,South-East,0 to 1 Year Old,"['Jora Sib Mondir', 'Goodwill Welfare Association Seva Sadan', 'Punarjyoti Eye Care', 'Jibandeep Specialist Clinic and Day Care Centre', 'Dewan Medicare And Nursing Home', 'Sankara Jyoti Eye Institute', 'Sree Balaram Seva Mandir State General Hospital', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Eye Care', 'Vasan Eye Care Hospital Sodepur', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Ubi bank', 'Rathindra Cinema', 'Prabha Fastfood Center', ""Ideal Girl's High School"", 'Amarabati school', 'Khardaha railway station', 'Titagarh railway station', 'Sodpur railway station']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage']",North
on request,0.27,khardah,3200.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,others,4,South-East,0 to 1 Year Old,"['Jora Sib Mondir', 'Goodwill Welfare Association Seva Sadan', 'Punarjyoti Eye Care', 'Jibandeep Specialist Clinic and Day Care Centre', 'Dewan Medicare And Nursing Home', 'Sankara Jyoti Eye Institute', 'Sree Balaram Seva Mandir State General Hospital', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Eye Care', 'Vasan Eye Care Hospital Sodepur', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Ubi bank', 'Rathindra Cinema', 'Prabha Fastfood Center', ""Ideal Girl's High School"", 'Amarabati school', 'Khardaha railway station', 'Titagarh railway station', 'Sodpur railway station']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage']",North
jeet signature kalikapur,0.72,pr,9336.0,Super Built up area 1035(96.15 sq.m.)Built Up area: 828 sq.ft. (76.92 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),3.0,2,1,not available,2,South-West,1 to 5 Year Old,"['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Old Radha Krishna Temple', 'Lord Shiva Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Hari Sava.Lord Krishna Temple', 'Lake Pally Shiv Mandir', 'Viveknagar Kalibari', 'State bank of india ATM', 'Pnb ATM', 'Axis bank ATM', 'Bank of baroda ATM', 'A.H.IVF and Infertility Research Centre Ltd', 'Aditya Birla Sankara Nethralaya', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Dr. Agarwals Eye Hospital', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Sunetra Eye and Family Care Centre', 'Apex Institute Of Medical Sciences', 'Revival Nursing Home', 'Peerless Hospital and B.K.Roy Research Center', 'Disha Eye Care Center', 'Frank Ross Pharmacy', 'Red Cross Society Medical Strore', 'Santoshpur BBD BAG mini bus stopage', 'Hdfc bank', 'State bank of india jadavpur stadium branch', 'Cinepolis', ""Chili's"", 'Ozora', ""Harvey's"", 'Boudir Hotel', 'Naushijaan', 'Thali', 'Trishna fast food', 'Sandwiches', 'Spice Of Joy', 'Red chilli', 'RD Memorial School', 'Sammilani Mahavidyalaya', 'Adarsha Balika Shikshayatan', 'Shishu Siksha Niketan', 'Jadavpur N.K. Pal Adarsha Sikshayatan', 'Bagha jatin railway station', 'Dhakuria public library']",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']",South
jeet novelty madurdaha,0.7,anandapur,5470.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1020 sq.ft. (94.76 sq.m.)Carpet area: 957 sq.ft. (88.91 sq.m.),3.0,2,1,not available,2,East,1 to 5 Year Old,"['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Old Radha Krishna Temple', 'Lord Shiva Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Hari Sava.Lord Krishna Temple', 'Lake Pally Shiv Mandir', 'Viveknagar Kalibari', 'State bank of india ATM', 'Pnb ATM', 'Bank of baroda ATM', 'Axis bank ATM', 'A.H.IVF and Infertility Research Centre Ltd', 'Aditya Birla Sankara Nethralaya', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Dr. Agarwals Eye Hospital', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Sunetra Eye and Family Care Centre', 'Apex Institute Of Medical Sciences', 'Revival Nursing Home', 'Peerless Hospital and B.K.Roy Research Center', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Frank Ross Pharmacy', 'Red Cross Society Medical Strore', 'Santoshpur BBD BAG mini bus stopage', 'Hdfc bank', 'State bank of india jadavpur stadium branch', 'Cinepolis', ""Chili's"", 'Ozora', ""Harvey's"", 'Boudir Hotel', 'Naushijaan', 'Thali', 'Trishna fast food', 'Sandwiches', 'Spice Of Joy', 'Red chilli', 'RD Memorial School', 'Sammilani Mahavidyalaya', 'Adarsha Balika Shikshayatan', 'Shishu Siksha Niketan', 'Jadavpur N.K. Pal Adarsha Sikshayatan', 'Bagha jatin railway station', 'Dhakuria public library']",,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']",South
jeet novelty embypass,0.41,madurdaha,4501.0,Super Built up area 920(85.47 sq.m.)Built Up area: 736 sq.ft. (68.38 sq.m.)Carpet area: 690 sq.ft. (64.1 sq.m.),3.0,2,1,not available,2,South,1 to 5 Year Old,"['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Old Radha Krishna Temple', 'Lord Shiva Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Hari Sava.Lord Krishna Temple', 'Lake Pally Shiv Mandir', 'Viveknagar Kalibari', 'State bank of india ATM', 'Pnb ATM', 'Bank of baroda ATM', 'Axis bank ATM', 'A.H.IVF and Infertility Research Centre Ltd', 'Aditya Birla Sankara Nethralaya', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Dr. Agarwals Eye Hospital', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Sunetra Eye and Family Care Centre', 'Apex Institute Of Medical Sciences', 'Revival Nursing Home', 'Peerless Hospital and B.K.Roy Research Center', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Frank Ross Pharmacy', 'Red Cross Society Medical Strore', 'Santoshpur BBD BAG mini bus stopage', 'Hdfc bank', 'State bank of india jadavpur stadium branch', 'Cinepolis', ""Chili's"", 'Ozora', ""Harvey's"", 'Boudir Hotel', 'Naushijaan', 'Thali', 'Trishna fast food', 'Sandwiches', 'Spice Of Joy', 'Red chilli', 'RD Memorial School', 'Sammilani Mahavidyalaya', 'Adarsha Balika Shikshayatan', 'Shishu Siksha Niketan', 'Jadavpur N.K. Pal Adarsha Sikshayatan', 'Bagha jatin railway station', 'Dhakuria public library']",,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']",South
jeet world madurdaha,0.37,em bypass,4500.0,Super Built up area 824(76.55 sq.m.)Built Up area: 660 sq.ft. (61.32 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2.0,2,1,not available,4,East,1 to 5 Year Old,"['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Lord Shiva Temple', 'Old Radha Krishna Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Hari Sava.Lord Krishna Temple', 'Lake Pally Shiv Mandir', 'Bank of baroda ATM', 'Pnb ATM', 'State bank of india ATM', 'Aditya Birla Sankara Nethralaya', 'A.H.IVF and Infertility Research Centre Ltd', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Sunetra Eye and Family Care Centre', 'Amrapali Medical Center and Nursing Home Pvt Ltd', 'Apex Institute Of Medical Sciences', 'Peerless Hospital and B.K.Roy Research Center', 'Dr. Agarwals Eye Hospital', 'Calcutta Institute Of Maxill Ofacial Surgery and R', 'Red Cross Society Medical Strore', 'Frank Ross Pharmacy', 'Santoshpur BBD BAG mini bus stopage', 'State bank of india jadavpur stadium branch', 'Hdfc bank', 'Cinepolis', 'Trishna fast food', ""Chili's"", 'Ozora', 'Sandwiches', ""Harvey's"", 'Neils Kitchen', 'Cafe Coffee Day', 'Boudir Hotel', 'Naushijaan', 'Thali', 'Sammilani Mahavidyalaya', 'Bagha jatin railway station', 'Dhakuria public library']",,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']",South
on request,0.34,sodepur,3200.0,Super Built up area 1050(97.55 sq.m.),3.0,2,1,others,4,West,0 to 1 Year Old,"['Jora Sib Mondir', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Panihati State General Hospital', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Vijoy Optic and Polyclinic', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'ESI Hospital', 'College of Medicine & Sagore Dutta Hospital', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
diamond city north,0.81,shyamnagar,6928.0,Super Built up area 1169(108.6 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 880 sq.ft. (81.75 sq.m.),3.0,2,2,others,2,North,10+ Year Old,"['Shyamnagar Bazar', 'Bhatpara State General Hospital', 'Shyamnagar Nursing Home', 'Happy Day School', 'Shyamnagar railway station', 'Jagaddal railway station']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",North
nexus,0.41,khardah,3352.0,Super Built up area 1223(113.62 sq.m.),3.0,3,2,others,3,North-East,0 to 1 Year Old,"['Jora Sib Mondir', 'Goodwill Welfare Association Seva Sadan', 'Punarjyoti Eye Care', 'Jibandeep Specialist Clinic and Day Care Centre', 'Dewan Medicare And Nursing Home', 'Sankara Jyoti Eye Institute', 'Sree Balaram Seva Mandir State General Hospital', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Eye Care', 'Vasan Eye Care Hospital Sodepur', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Ubi bank', 'Rathindra Cinema', 'Prabha Fastfood Center', ""Ideal Girl's High School"", 'Amarabati school', 'Khardaha railway station', 'Titagarh railway station', 'Sodpur railway station']",,"['Lift(s)', 'Maintenance Staff']",North
shyama apartment,0.34,behala,4500.0,Super Built up area 750(69.68 sq.m.),2.0,2,1,store room,2,South-West,1 to 5 Year Old,"['Behala Market', 'Jagannath Temple', 'Kali Temple', 'Hari Sabha', 'Sitala Mandir', 'Laxmi Narayan Mandir', 'Shibaloy', 'Sbi ATM', 'Axis bank ATM', 'Axis bank ATM', 'Union bank of india ATM', 'State bank of india ATM', ""Kolkata Women's Clinic"", 'Pratihar Nursing Home', 'Vidyasagar State General Hospital', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'Behala Balananda Brahmachari Hospital and Research Center', 'Hope Hospital', 'South Suburban Clinic', 'James Long Clinic Pvt Limited', 'Vivekananda Hospital and Research Institute', 'Apex Clinic Pvt Ltd', 'Kolkata Port Trust Centenary Hospital', 'B.P. Poddar Hospital', 'Orchid Skin Clinic', 'Arogya Maternity and Nursing Home', 'Shradha Health Care Pvt. Ltd', 'CGHS Dispensary Kudghat', 'Siddhi Multi Speciality Ayurveda Hospital and Research Institute', 'Sree Ramkrishna Pharmacy', 'Vivekananda pharmacy', 'Parnasree Bus Stand', 'Indian Oil Petrol Pump', 'Ajanta Cinema', 'Sarat Sadan', 'Ashoka cinema hall', 'Haji Saheb', 'Panna Sweets', 'PANNA SWEETS', 'Chowman', 'Ikura - Flavours of Pan Asia', 'National Gems Higher Secoundry School', 'Shaw Public Girls High School', 'Behla Blind School', 'Behala bazar metro railway station', 'Behala chowrasta metro railway station', 'Majherhat railway station', 'New alipore railway station', 'Brace bridge railway station', 'Remount road railway station']",,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",South
subrata apartment,0.27,barisha,3600.0,Super Built up area 750(69.68 sq.m.),2.0,2,1,store room,2,North,1 to 5 Year Old,"['Behala Market', 'Santoshi Maa Mandir', 'Dhali Para Masjid', 'Kali Temple', 'Laxmi Narayan Mandir', 'Jagannath Temple', 'Sitala Mandir', 'Sbi ATM', 'Prima Orthopaedic Centre', 'Suburban Eye Microsurgery Centre', 'Love Bailey Nursing Home', 'DM Hospitals Pvt. Ltd', 'James Long Clinic Pvt Limited', 'CGHS Dispensary Kudghat', 'Apex Clinic Pvt Ltd', 'Swadesh Basu Hospital', 'Bangur Medicare Research Institute', 'Gay-Land Nursing Home', 'Sakuntala Nursing Home', 'Saroj Gupta Cancer Centre And Research Institute', 'Thakur Pukur Cancer Hospital', 'Vidyasagar State General Hospital', 'Netaji Eye Hospital', 'Kasturi Medical Centre Pvt Ltd', 'Pratihar Nursing Home', 'Charulata Welfare Centre', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'Sree Ramkrishna Pharmacy', 'Parnasree Bus Stand', 'Ashoka cinema hall', 'Sarat Sadan', 'Ibi ban bank', 'Chowman', 'Swapan Tea Stall', 'Panna Sweets', 'PANNA SWEETS', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Haji Saheb', 'Behla Blind School', 'Shaw Public Girls High School', 'National Gems Higher Secoundry School', 'Behala chowrasta metro railway station', 'Behala bazar metro railway station']","['2 Bed', '1 Wardrobe', '1 Fridge', '1 Sofa', '4 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",South
a. r. s apartment,0.25,silpara,3579.0,Super Built up area 712(66.15 sq.m.),2.0,2,1,not available,2,South,1 to 5 Year Old,"['Behala Market', 'Santoshi Maa Mandir', 'Dhali Para Masjid', 'Kali Temple', 'Laxmi Narayan Mandir', 'Jagannath Temple', 'Sitala Mandir', 'Sbi ATM', 'Prima Orthopaedic Centre', 'Suburban Eye Microsurgery Centre', 'Love Bailey Nursing Home', 'DM Hospitals Pvt. Ltd', 'James Long Clinic Pvt Limited', 'CGHS Dispensary Kudghat', 'Apex Clinic Pvt Ltd', 'Swadesh Basu Hospital', 'Bangur Medicare Research Institute', 'Gay-Land Nursing Home', 'Sakuntala Nursing Home', 'Saroj Gupta Cancer Centre And Research Institute', 'Thakur Pukur Cancer Hospital', 'Vidyasagar State General Hospital', 'Netaji Eye Hospital', 'Kasturi Medical Centre Pvt Ltd', 'Pratihar Nursing Home', 'Charulata Welfare Centre', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'Sree Ramkrishna Pharmacy', 'Parnasree Bus Stand', 'Ashoka cinema hall', 'Sarat Sadan', 'Ibi ban bank', 'Chowman', 'Swapan Tea Stall', 'Panna Sweets', 'PANNA SWEETS', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Haji Saheb', 'Behla Blind School', 'Shaw Public Girls High School', 'National Gems Higher Secoundry School', 'Behala chowrasta metro railway station', 'Behala bazar metro railway station']",,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",South
jagadharti apartment,0.32,barisha,4278.0,Super Built up area 748(69.49 sq.m.),2.0,2,1,store room,0,South,1 to 5 Year Old,"['Santoshi Maa Mandir', 'Dhali Para Masjid', 'Suburban Eye Microsurgery Centre', 'Prima Orthopaedic Centre', 'Love Bailey Nursing Home', 'DM Hospitals Pvt. Ltd', 'Swadesh Basu Hospital', 'Bangur Medicare Research Institute', 'Gay-Land Nursing Home', 'Kasturi Medical Centre Pvt Ltd', 'Saroj Gupta Cancer Centre And Research Institute', 'Thakur Pukur Cancer Hospital', 'CGHS Dispensary Kudghat', 'James Long Clinic Pvt Limited', 'Charulata Welfare Centre', 'Apex Clinic Pvt Ltd', 'Sakuntala Nursing Home', 'Netaji Eye Hospital', 'Sree Ramkrishna Pharmacy', 'Ibi ban bank', 'Ashoka cinema hall', 'Sarat Sadan', 'Swapan Tea Stall', 'Chowman', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Behla Blind School', 'Shaw Public Girls High School', 'National Gems Higher Secoundry School', 'Behala chowrasta metro railway station']",,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",South
jagadharti apartment,0.26,barisha,4333.0,Super Built up area 600(55.74 sq.m.),2.0,1,0,store room,1,North-West,1 to 5 Year Old,"['Behala Market', 'Santoshi Maa Mandir', 'Kali Temple', 'Dhali Para Masjid', 'Jagannath Temple', 'Laxmi Narayan Mandir', 'Sitala Mandir', 'Hari Sabha', 'Gouria moth', 'Shibaloy', 'Sbi ATM', 'Axis bank ATM', 'Sbi ATM', 'James Long Clinic Pvt Limited', 'CGHS Dispensary Kudghat', 'Prima Orthopaedic Centre', 'Apex Clinic Pvt Ltd', 'Suburban Eye Microsurgery Centre', 'Love Bailey Nursing Home', 'DM Hospitals Pvt. Ltd', 'Vidyasagar State General Hospital', 'Pratihar Nursing Home', 'Mohanananda Brahmachari Sishu Seva Pratisthan', 'Sree Krishna Nursing Home', 'Saroj Gupta Cancer Centre And Research Institute', ""Kolkata Women's Clinic"", 'Thakur Pukur Cancer Hospital', 'Swadesh Basu Hospital', 'Charulata Welfare Centre', 'Tapan Sinha Memorial Hospital', 'Behala Balananda Brahmachari Hospital and Research Center', 'Bangur Medicare Research Institute', 'Sakuntala Nursing Home', 'Gay-Land Nursing Home', 'Sree Ramkrishna Pharmacy', 'Ashoka cinema hall', 'Sarat Sadan', 'Ibi ban bank', 'Chowman', 'Panna Sweets', 'PANNA SWEETS', 'Haji Saheb', 'Swapan Tea Stall', 'Behla Blind School', 'National Gems Higher Secoundry School', 'Shaw Public Girls High School', 'Swami pranabananda school', 'ITI TOLLYGUNGE', 'Behala chowrasta metro railway station', 'Behala bazar metro railway station']",,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Bank Attached Property', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",South
on request,0.24,sodepur,3000.0,Super Built up area 803(74.6 sq.m.),2.0,2,1,others,3,South-West,1 to 5 Year Old,"['Jora Sib Mondir', 'Panihati State General Hospital', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Vijoy Optic and Polyclinic', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'ESI Hospital', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
on request,0.24,sodepur,3000.0,Super Built up area 803(74.6 sq.m.),2.0,2,1,others,2,South,1 to 5 Year Old,"['Jora Sib Mondir', 'Panihati State General Hospital', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Vijoy Optic and Polyclinic', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'ESI Hospital', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
on request,0.24,sodepur,3000.0,Super Built up area 803(74.6 sq.m.),2.0,2,1,others,1,East,1 to 5 Year Old,"['Jora Sib Mondir', 'Panihati State General Hospital', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Vijoy Optic and Polyclinic', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'ESI Hospital', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
on request,0.21,sodepur,3200.0,Super Built up area 670(62.25 sq.m.),2.0,2,1,others,1,South-East,1 to 5 Year Old,"['Jora Sib Mondir', 'Panihati State General Hospital', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Vijoy Optic and Polyclinic', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
on request,0.28,sodepur,3200.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,others,1,South,1 to 5 Year Old,"['Jora Sib Mondir', 'Panihati State General Hospital', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Vijoy Optic and Polyclinic', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
on request,0.21,sodepur,3200.0,Super Built up area 670(62.25 sq.m.),2.0,2,1,others,4,North-West,1 to 5 Year Old,"['Jora Sib Mondir', 'Panihati State General Hospital', 'Eye Care', 'Anupama Eye Care', 'Restroative Clinic Pvt.Ltd.', 'Vijoy Optic and Polyclinic', 'Green-View Nursing Home Kolkata', 'Vasan Eye Care Hospital Sodepur', 'Netaji Sebayan Hospital', 'Dewan Medicare And Nursing Home', 'Amarabati Community Hall', 'Rahara bazar bus depot', 'Rathindra Cinema', 'Prabha Fastfood Center', 'Amarabati school', 'Sodpur railway station', 'Agarpara railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
on request,0.28,sodepur,3200.0,Super Built up area 875(81.29 sq.m.),2.0,2,1,others,4,South,1 to 5 Year Old,"['Rabindra Tirtha Metro Station', 'Nazrul tirtha metro station', 'mandir', 'Hdfc bank ATM', 'Citibank ATM', 'Axis bank ATM', 'Apollo Dental Clinic', 'Sanjeevani Health and Lifestyle Pvt Ltd', 'Bhagirathi Neotia Woman And Child Care Centre', 'Tata Cancer Hospital', 'Tarulia Upashasthya Kendra', 'Composite Hospital', 'Global Healthcare System', 'DLF IT Park', 'DLF Tower', 'Godrej Waterside', 'Imagine Tech Park', 'Geetanjali IT Park', 'Eco Park Gate 1 Parking Lot', 'New Town Bus Depot', 'Balaka Bus Terminus', 'Indian Oil Petrol Pump', 'Bioscope', 'Nazrul Tirtha', 'Vijaya bank', 'Idbi bank', 'Aaheli', 'Cafe Coffee Day', 'Monginis', 'Biswa Bangla Gate', 'IRCTC Cafe', 'Penguin', 'Dominos Pizza', 'Lazeez', 'Oval', 'Azad Hind Dhaba', 'Hangout', 'Eco Hub', ""St. Xavier's University"", 'Acharya Tulsi Academy Orchids The International School Newtown', 'International Institute of Photography']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)']",North
